"year1, prod1",100uah

"year1, prod2",100uah

"year1, prod3",100uah

"year1, prod4",100uah

"year1, prod5",100uah

"year1, prod6",100uah

"year1, prod7",100uah

100uah,"year3, prod10"

"year1, prod9",100uah

"year1, prod10",100uah

"year2, prod2",100uah

"year2, prod3",100uah

"year2, prod4",100uah

"year2, prod5",100uah

"year2, prod6",100uah

"year2, prod7",100uah

"year2, prod8",100uah

"year2, prod9",100uah

"year2, prod10",100uah

"year3, prod1",100uah

"year3, prod2",100uah

"year3, prod3",100uah

"year3, prod4",100uah

"year3, prod5",100uah

"year3, prod6",100uah

"year3, prod7",100uah

"year3, prod8",100uah

"year3, prod9",100uah

